config,run_dir,best_epoch,attack,TP,FP,FN,TN,precision,recall,accuracy,TP_node_IDs
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_5_dos_slowloris,0,0,2,4776,0.0,0.0,0.99958,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_5_dos_slowhttptest,0,0,2,4320,0.0,0.0,0.99954,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_5_dos_hulk,0,0,2,4253,0.0,0.0,0.99953,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_5_dos_goldeneye,0,0,2,4253,0.0,0.0,0.99953,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_5_heartbleed,0,0,2,4253,0.0,0.0,0.99953,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_6_web_bruteforce,0,0,3,7464,0.0,0.0,0.9996,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_6_web_xss,0,0,3,7125,0.0,0.0,0.99958,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_6_web_sqli,0,0,3,7024,0.0,0.0,0.99957,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_6_infiltration_step1,0,0,3,7216,0.0,0.0,0.99958,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_6_infiltration_cooldisk,0,0,3,7060,0.0,0.0,0.99958,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_6_infiltration_step2,0,0,13,7190,0.0,0.0,0.9982,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_7_botnet,0,0,7,6927,0.0,0.0,0.99899,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_7_portscan,0,0,3,7030,0.0,0.0,0.99957,
kairos_cicids_red,run-20260403_173823-l88hmsi6,0,graph_7_ddos_loit,0,0,2,6141,0.0,0.0,0.99967,
orthrus_cicids_red,run-20260403_172408-arq94flm,0,graph_5_dos_slowloris,0,0,2,4776,0.0,0.0,0.99958,
orthrus_cicids_red,run-20260403_172408-arq94flm,0,graph_5_dos_slowhttptest,0,0,2,4320,0.0,0.0,0.99954,
orthrus_cicids_red,run-20260403_172408-arq94flm,0,graph_5_dos_hulk,0,0,2,4253,0.0,0.0,0.99953,
orthrus_cicids_red,run-20260403_172408-arq94flm,0,graph_5_dos_goldeneye,0,0,2,4253,0.0,0.0,0.99953,
orthrus_cicids_red,run-20260403_172408-arq94flm,0,graph_5_heartbleed,0,0,2,4253,0.0,0.0,0.99953,
