config,run_dir,epoch,attack,TP,FP,FN,TN,precision,recall,accuracy,TP_node_IDs
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_6_web_bruteforce,0,0,3,7464,0.0,0.0,0.9996,
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_6_web_xss,0,0,3,7125,0.0,0.0,0.99958,
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_6_web_sqli,0,0,3,7024,0.0,0.0,0.99957,
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_6_infiltration_step1,0,0,3,7216,0.0,0.0,0.99958,
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_6_infiltration_cooldisk,0,0,3,7060,0.0,0.0,0.99958,
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_6_infiltration_step2,0,0,13,7190,0.0,0.0,0.9982,
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_7_botnet,1,2,6,6925,0.33333,0.14286,0.99885,3580 (172.16.0.1:0->172.16.0.1:0)
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_7_portscan,1,2,2,7028,0.33333,0.33333,0.99943,3580 (172.16.0.1:0->172.16.0.1:0)
orthrus_cicids_kde_diff,run-20260403_071729-94zpg3qc,11,graph_7_ddos_loit,1,1,1,6140,0.5,0.5,0.99967,3580 (172.16.0.1:0->172.16.0.1:0)
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_5_dos_slowloris,0,0,2,4776,0.0,0.0,0.99958,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_5_dos_slowhttptest,0,0,2,4320,0.0,0.0,0.99954,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_5_dos_hulk,0,0,2,4253,0.0,0.0,0.99953,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_5_dos_goldeneye,0,2,2,4251,0.0,0.0,0.99906,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_5_heartbleed,0,0,2,4253,0.0,0.0,0.99953,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_6_web_bruteforce,0,2,3,7462,0.0,0.0,0.99933,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_6_web_xss,0,2,3,7123,0.0,0.0,0.9993,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_6_web_sqli,0,2,3,7022,0.0,0.0,0.99929,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_6_infiltration_step1,0,0,3,7216,0.0,0.0,0.99958,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_6_infiltration_cooldisk,0,0,3,7060,0.0,0.0,0.99958,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_6_infiltration_step2,1,1,12,7189,0.5,0.07692,0.9982,4763 (192.168.10.8:0->192.168.10.8:0)
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_7_botnet,0,0,7,6927,0.0,0.0,0.99899,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_7_portscan,0,0,3,7030,0.0,0.0,0.99957,
kairos_cicids_kde_ts,run-20260403_062042-o693lwyf,11,graph_7_ddos_loit,0,0,2,6141,0.0,0.0,0.99967,
orthrus_cicids_kde_ts,run-20260403_052853-xn9gc9ym,11,graph_5_dos_slowloris,0,0,2,4776,0.0,0.0,0.99958,
orthrus_cicids_kde_ts,run-20260403_052853-xn9gc9ym,11,graph_5_dos_slowhttptest,0,0,2,4320,0.0,0.0,0.99954,
orthrus_cicids_kde_ts,run-20260403_052853-xn9gc9ym,11,graph_5_dos_hulk,0,0,2,4253,0.0,0.0,0.99953,
orthrus_cicids_kde_ts,run-20260403_052853-xn9gc9ym,11,graph_5_dos_goldeneye,0,0,2,4253,0.0,0.0,0.99953,
orthrus_cicids_kde_ts,run-20260403_052853-xn9gc9ym,11,graph_5_heartbleed,0,0,2,4253,0.0,0.0,0.99953,
